"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Francisco Lindor","NYM","52","222","5","29","13","4","10.4%","16.7%",".124",".242",".218",".305",".342",".287",".318","86","0.9","-2.9","2.7","0.7","12916"
"Andrew Benintendi","KCR","54","217","6","27","29","7","7.8%","18.9%",".132",".342",".294",".350",".426",".339",".337","117","-1.5","2.8","-3.3","0.7","17901"
"Anthony Rizzo","CHC","52","216","5","23","22","4","12.0%","11.6%",".163",".268",".255",".352",".418",".335",".351","113","0.6","4.0","-4.1","0.7","3473"
"DJ LeMahieu","NYY","56","251","3","33","14","2","10.8%","17.9%",".068",".303",".253",".335",".321",".295",".329","89","-0.1","-3.3","1.4","0.7","9874"
"Matt Chapman","OAK","60","241","5","22","23","1","13.7%","32.0%",".125",".288",".205",".311",".330",".287",".284","88","0.0","-3.6","2.0","0.7","16505"
"Jonathan Villar","NYM","47","155","5","21","14","6","11.0%","23.2%",".161",".302",".248",".335",".409",".324",".334","110","0.4","2.3","-0.7","0.7","10071"
"Manuel Margot","TBR","54","202","5","20","32","6","5.0%","15.3%",".141",".263",".241",".277",".382",".286",".307","87","0.0","-3.2","2.8","0.7","14712"
"Nicky Lopez","KCR","53","172","0","25","10","5","12.2%","13.4%",".084",".262",".224",".323",".308",".286",".275","81","3.1","-0.8","1.4","0.7","19339"
"D.J. Stewart","BAL","46","154","6","19","19","0","13.6%","24.0%",".176",".273",".229",".344",".405",".333",".330","114","0.0","2.7","-1.8","0.6","17766"
"Gary Sanchez","NYY","43","163","6","16","15","0","13.5%","28.8%",".174",".271",".210",".331",".384",".316",".336","103","-1.9","-1.4","1.9","0.6","11442"
"Adam Eaton","CHW","48","184","5","27","26","2","9.2%","26.1%",".166",".250",".197",".300",".363",".296",".301","91","0.8","-1.2","1.0","0.6","11205"
"Raimel Tapia","COL","58","237","5","29","31","5","7.2%","13.5%",".115",".306",".280",".329",".394",".314",".289","85","1.3","-3.2","1.5","0.6","14350"
