"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Austin Meadows","TBR","56","246","14","36","48","2","12.6%","24.0%",".286",".273",".248",".350",".533",".375",".360","146","0.0","13.6","-5.1","1.7","15672"
"Ozzie Albies","ATL","55","236","9","35","37","5","8.5%","16.9%",".246",".274",".256",".326",".502",".353",".365","123","1.6","8.3","0.4","1.7","16556"
"Adam Frazier","PIT","57","254","2","35","23","3","7.9%","10.6%",".140",".368",".332",".394",".472",".377",".330","141","-2.2","10.6","-2.5","1.7","15223"
"Evan Longoria","SFG","50","186","9","28","30","1","13.4%","22.6%",".236",".327",".280",".376",".516",".382",".415","146","-0.9","9.6","0.4","1.6","9368"
"Shohei Ohtani","LAA","57","223","16","37","42","8","9.0%","30.0%",".332",".299",".256",".332",".588",".384",".393","150","0.1","13.3","-4.9","1.6","19755"
"Mookie Betts","LAD","49","231","5","31","20","5","12.6%","15.2%",".180",".290",".258",".372",".438",".356",".356","130","0.8","9.3","-0.8","1.6","13611"
"Alex Bregman","HOU","51","227","6","33","29","0","11.5%","15.0%",".151",".321",".286",".374",".437",".353",".331","132","-0.8","7.8","-0.1","1.6","17678"
"Kyle Tucker","HOU","58","238","11","37","37","5","8.4%","16.0%",".216",".263",".258",".321",".474",".338",".394","122","0.3","6.4","0.9","1.6","18345"
"Tyler O'Neill","STL","41","152","13","25","29","5","2.6%","34.2%",".333",".338",".278",".309",".611",".387",".395","149","0.9","10.1","0.3","1.6","15711"
"Tim Anderson","CHW","46","203","6","34","22","9","4.9%","24.1%",".135",".372",".297",".335",".432",".333",".318","116","1.8","5.6","2.5","1.5","15172"
"Jake Cronenworth","SDP","60","258","5","37","18","3","7.8%","13.6%",".132",".307",".276",".344",".408",".328",".322","111","1.1","4.6","1.9","1.5","18036"
"Juan Soto","WSN","46","194","7","29","25","1","18.0%","14.9%",".171",".301",".278",".407",".449",".370",".435","134","-1.4","6.7","1.6","1.5","20123"
"Bo Bichette","TOR","57","251","11","46","34","7","6.0%","25.5%",".202",".314",".262",".311",".464",".333",".337","112","1.5","5.1","0.6","1.5","19612"
"Whit Merrifield","KCR","57","247","5","38","35","17","7.3%","10.1%",".141",".276",".268",".324",".409",".316",".328","101","3.7","3.9","1.9","1.5","11281"
"Carson Kelly","ARI","41","155","7","19","23","0","16.1%","21.3%",".205",".302",".270",".400",".475",".378",".399","139","-0.9","6.6","2.2","1.4","13620"
"Yasmani Grandal","CHW","41","159","9","27","21","0","28.3%","25.8%",".261",".127",".153",".392",".414",".363",".404","136","-0.8","6.0","2.3","1.4","11368"
"Gleyber Torres","NYY","51","209","3","19","23","4","11.0%","18.2%",".092",".326",".272",".351",".364",".320",".333","106","1.2","2.5","4.0","1.4","16997"
"Mitch Haniger","SEA","58","250","14","39","38","0","6.8%","24.0%",".257",".289",".261",".308",".517",".349",".352","129","-0.4","8.3","-3.1","1.4","14274"
"Ryan McMahon","COL","59","233","13","37","32","3","7.3%","24.0%",".238",".286",".257",".309",".495",".340",".352","102","1.1","1.7","4.5","1.4","15112"
"Jacob Stallings","PIT","44","165","4","14","25","0","12.1%","21.2%",".174",".295",".243",".339",".417",".333",".333","112","0.3","2.7","5.5","1.4","13723"
"Willson Contreras","CHC","53","206","9","28","24","3","10.7%","28.2%",".182",".315",".250",".350",".432",".342",".330","118","-1.5","2.9","3.9","1.4","11609"
"Josh Rojas","ARI","56","211","7","29","17","2","10.4%","26.1%",".188",".328",".258",".335",".446",".339",".321","114","2.3","6.0","0.7","1.4","19734"
"Nick Madrigal","CHW","52","207","2","30","20","1","4.8%","7.7%",".119",".324",".306",".348",".425",".337",".287","118","0.9","5.4","1.0","1.4","20521"
"Freddy Galvis","BAL","54","205","9","29","23","1","8.3%","21.5%",".212",".280",".250",".319",".462",".335",".285","116","-0.1","3.8","2.6","1.4","6609"
"Jose Abreu","CHW","54","227","11","27","46","1","9.7%","24.7%",".216",".288",".253",".339",".469",".348",".368","126","-1.0","6.0","-0.9","1.3","15676"
"Austin Riley","ATL","56","218","10","31","25","0","10.1%","28.4%",".209",".398",".305",".390",".513",".387",".354","145","-1.0","10.9","-5.2","1.3","18360"
"Kyle Seager","SEA","61","252","11","22","36","2","7.5%","24.2%",".216",".241",".216",".282",".432",".305",".344","99","0.8","0.7","3.4","1.3","9785"
"Javier Baez","CHC","54","218","14","32","39","9","3.2%","36.7%",".240",".313",".240",".276",".480",".320",".297","104","2.8","3.8","1.8","1.3","12979"
"Carlos Santana","KCR","57","242","10","34","36","2","17.8%","14.9%",".176",".245",".244",".380",".420",".353",".376","126","1.6","9.1","-4.7","1.3","2396"
"Justin Turner","LAD","56","237","9","37","30","0","12.7%","20.3%",".181",".309",".270",".363",".451",".355",".354","130","-1.7","7.0","-2.1","1.3","5235"
"Manny Machado","SDP","53","224","7","27","33","6","12.5%","19.2%",".170",".260",".232",".326",".402",".318",".344","104","1.2","2.4","2.9","1.3","11493"
"Rhys Hoskins","PHI","58","241","12","33","35","2","8.3%","27.0%",".230",".319",".263",".332",".493",".355",".341","125","-0.9","6.6","-2.0","1.3","16472"
"Kolten Wong","MIL","44","178","4","24","15","5","6.7%","15.2%",".161",".313",".280",".343",".441",".339",".324","115","1.2","4.5","2.1","1.3","12532"
"Joey Gallo","TEX","58","241","10","31","26","4","18.7%","32.8%",".181",".288",".207",".365",".389",".339",".358","119","1.5","6.9","-2.9","1.2","14128"
"Trey Mancini","BAL","57","242","11","33","44","0","9.5%","21.5%",".213",".312",".273",".347",".486",".359",".394","132","-0.7","8.4","-4.5","1.2","15149"
"Bryce Harper","PHI","40","171","7","27","14","5","14.6%","27.5%",".203",".360",".273",".392",".476",".375",".408","138","0.9","9.0","-2.5","1.2","11579"
"Salvador Perez","KCR","57","233","14","26","40","0","2.6%","25.8%",".239",".315",".275",".305",".514",".348",".374","122","-0.2","6.0","-2.1","1.2","7304"
"Alex Verdugo","BOS","55","227","8","36","25","4","7.9%","12.3%",".176",".298",".288",".348",".463",".350",".363","121","1.4","7.2","-3.2","1.2","17027"
"Eduardo Escobar","ARI","59","251","14","33","41","1","6.4%","22.3%",".222",".261",".244",".291",".466",".324",".313","104","1.0","2.3","1.2","1.2","6153"
"Randy Arozarena","TBR","57","252","7","38","27","9","9.5%","28.6%",".140",".340",".252",".337",".392",".322",".279","111","2.0","5.3","-2.6","1.2","19290"
"Mike Yastrzemski","SFG","45","184","6","25","15","1","12.5%","24.5%",".234",".271",".222",".332",".456",".338",".315","118","2.0","6.0","-0.7","1.1","14854"
"Sean Murphy","OAK","49","184","6","15","31","0","7.6%","26.6%",".191",".278",".222",".310",".414",".317",".339","108","-2.1","-0.4","5.2","1.1","19352"
"Tucker Barnhart","CIN","45","160","3","25","19","0","10.0%","30.0%",".151",".382",".266",".356",".417",".341",".302","114","0.7","3.5","2.3","1.1","10200"
"Randal Grichuk","TOR","57","228","12","28","43","0","4.4%","21.1%",".231",".312",".282",".316",".514",".354",".334","126","-2.7","4.4","-1.5","1.1","10243"
