,pitchIdx,inning,frame,ab,abIdx,batter,stand,speed,pitchtype,px,pz,szTop,szBottom,des
308,308,1,top,1,1,Trea Turner,R,88.6,4-seam fb,0.35,1.95,3.18,1.43,Called Strike
309,309,1,top,1,2,Trea Turner,R,84.9,slider,-0.15,1.54,2.98,1.39,"In play, out(s)"
310,310,1,top,2,1,Adam Eaton,L,88.7,4-seam fb,-0.16,2.94,3.03,1.37,Called Strike
311,311,1,top,2,2,Adam Eaton,L,68.4,curveball,-0.31,1.57,2.98,1.39,Swinging Strike
312,312,1,top,2,3,Adam Eaton,L,91.0,4-seam fb,-1.35,4.63,2.92,1.36,Ball
313,313,1,top,2,4,Adam Eaton,L,66.7,curveball,-1.14,2.44,2.92,1.28,Ball
314,314,1,top,2,5,Adam Eaton,L,87.9,changeup,-0.97,1.93,3.14,1.48,"In play, out(s)"
315,315,1,top,3,1,Anthony Rendon,R,85.3,slider,0.3,1.48,3.14,1.48,"In play, out(s)"
316,316,1,bottom,4,1,George Springer,R,96.7,4-seam fb,1.12,1.67,3.64,1.66,Ball
317,317,1,bottom,4,2,George Springer,R,96.3,4-seam fb,0.2,1.29,3.56,1.58,Ball
318,318,1,bottom,4,3,George Springer,R,86.9,slider,-0.35,1.95,3.54,1.59,Called Strike
319,319,1,bottom,4,4,George Springer,R,96.3,4-seam fb,-0.76,2.05,3.51,1.56,Called Strike
320,320,1,bottom,4,5,George Springer,R,87.2,slider,-1.55,1.97,3.5,1.56,Ball
321,321,1,bottom,4,6,George Springer,R,96.8,4-seam fb,-0.08,2.17,2.95,1.33,"In play, out(s)"
322,322,1,bottom,5,1,Jose Altuve,R,88.2,fb-cutter,-0.59,2.17,2.95,1.33,Swinging Strike
323,323,1,bottom,5,2,Jose Altuve,R,97.3,4-seam fb,-0.5,2.22,3.35,1.56,"In play, out(s)"
324,324,1,bottom,6,1,Michael Brantley,L,81.1,curveball,-2.77,2.61,3.51,1.51,Ball
325,325,1,bottom,6,2,Michael Brantley,L,87.8,changeup,-2.04,2.3,3.54,1.57,Ball
326,326,1,bottom,6,3,Michael Brantley,L,97.0,4-seam fb,-1.2,2.74,3.51,1.54,Ball
327,327,1,bottom,6,4,Michael Brantley,L,96.7,4-seam fb,-0.54,2.31,3.5,1.63,Called Strike
328,328,1,bottom,6,5,Michael Brantley,L,97.8,4-seam fb,-1.18,2.35,3.58,1.57,Ball
329,329,1,bottom,7,1,Alex Bregman,R,86.5,slider,-0.34,2.97,3.22,1.61,Called Strike
330,330,1,bottom,7,2,Alex Bregman,R,96.0,4-seam fb,-0.16,3.06,3.17,1.51,"In play, out(s)"
331,331,2,top,8,1,Juan Soto,L,87.9,4-seam fb,-0.95,2.06,3.34,1.5,Ball
332,332,2,top,8,2,Juan Soto,L,86.5,changeup,0.6,0.77,3.34,1.51,Ball
333,333,2,top,8,3,Juan Soto,L,72.4,curveball,-1.24,2.76,3.33,1.51,Ball
334,334,2,top,8,4,Juan Soto,L,88.6,4-seam fb,0.32,1.55,3.35,1.51,Called Strike
335,335,2,top,8,5,Juan Soto,L,89.3,4-seam fb,-0.08,2.37,3.1,1.38,"In play, no out"
336,336,2,top,9,1,Howie Kendrick,R,88.8,4-seam fb,0.12,1.2,3.13,1.37,Ball
337,337,2,top,9,2,Howie Kendrick,R,86.4,changeup,-0.79,2.89,3.4,1.65,"In play, out(s)"
338,338,2,top,10,1,Asdrubal Cabrera,L,89.7,4-seam fb,-0.34,1.34,3.45,1.67,Ball
339,339,2,top,10,2,Asdrubal Cabrera,L,90.1,4-seam fb,-0.39,1.07,3.38,1.6,Ball
340,340,2,top,10,3,Asdrubal Cabrera,L,72.5,curveball,0.2,2.07,3.4,1.65,Foul
341,341,2,top,10,4,Asdrubal Cabrera,L,86.7,changeup,-0.87,2.91,3.4,1.61,Called Strike
342,342,2,top,10,5,Asdrubal Cabrera,L,82.6,slider,-0.23,1.33,3.34,1.59,"In play, out(s)"
