"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Martin Perez","Twins","10","7","0","32","29","165.1","7.35","3.65","1.25",".316","67.6 %","48.0 %","15.0 %","5.12","4.66","4.69","1.9","6902"
"Andrew Cashner","- - -","11","8","1","42","23","150.0","6.48","3.48","1.14",".280","68.0 %","48.5 %","12.0 %","4.68","4.66","5.11","1.8","8782"
"Rick Porcello","Red Sox","14","12","0","32","32","174.1","7.38","2.32","1.60",".308","65.7 %","38.1 %","13.1 %","5.52","4.76","5.14","1.8","2717"
"Jason Vargas","- - -","7","9","0","30","29","149.2","7.46","3.79","1.26",".276","69.8 %","38.5 %","11.2 %","4.51","4.76","5.44","1.8","8044"
"Mike Fiers","Athletics","15","4","0","33","33","184.2","6.14","2.58","1.46",".254","78.5 %","39.9 %","13.8 %","3.90","4.97","5.19","1.7","7754"
"Steven Matz","Mets","11","10","0","32","30","160.1","8.59","2.92","1.52",".301","75.5 %","47.1 %","17.4 %","4.21","4.60","4.33","1.6","13361"
"Jordan Lyles","- - -","12","8","0","28","28","141.0","9.32","3.51","1.60",".285","75.7 %","40.3 %","15.5 %","4.15","4.64","4.61","1.6","7593"
"Julio Teheran","Braves","10","11","0","33","33","174.2","8.35","4.28","1.13",".266","76.6 %","39.0 %","11.2 %","3.81","4.66","5.26","1.6","6797"
"Zach Davies","Brewers","10","7","0","31","31","159.2","5.75","2.87","1.13",".272","75.0 %","40.1 %","11.0 %","3.55","4.56","5.20","1.6","13183"
"Trevor Richards","- - -","6","12","0","30","23","135.1","8.45","3.72","1.26",".290","77.5 %","35.2 %","11.7 %","4.06","4.51","5.09","1.5","19309"
"Jakob Junis","Royals","9","14","0","31","31","175.1","8.42","2.98","1.59",".318","70.3 %","42.4 %","16.7 %","5.24","4.82","4.63","1.5","13619"
"Zach Eflin","Phillies","10","13","0","32","28","163.1","7.11","2.64","1.54",".291","73.9 %","44.4 %","16.0 %","4.13","4.85","4.76","1.5","13774"
"Jeff Samardzija","Giants","11","12","0","32","32","181.1","6.95","2.43","1.39",".240","76.9 %","36.4 %","12.6 %","3.52","4.59","5.02","1.5","3254"
"Yonny Chirinos","Rays","9","5","0","26","18","133.1","7.70","1.89","1.55",".246","74.0 %","43.3 %","18.1 %","3.85","4.44","4.10","1.4","16401"
"Tyler Mahle","Reds","3","12","0","25","25","129.2","8.95","2.36","1.74",".307","66.7 %","47.0 %","20.8 %","5.14","4.66","3.99","1.4","16358"
"Danny Duffy","Royals","7","6","0","23","23","130.2","7.92","3.17","1.45",".285","73.5 %","36.0 %","13.0 %","4.34","4.78","5.14","1.3","3542"
"J.A. Happ","Yankees","12","8","0","31","30","161.1","7.81","2.73","1.90",".280","75.7 %","39.8 %","18.3 %","4.91","5.22","4.78","1.3","7410"
"Chase Anderson","Brewers","8","4","0","32","27","139.0","8.03","3.24","1.49",".266","77.1 %","35.0 %","12.8 %","4.21","4.83","5.26","1.2","6895"
"Jake Arrieta","Phillies","8","8","0","24","24","135.2","7.30","3.38","1.39",".316","73.8 %","51.3 %","19.4 %","4.64","4.89","4.46","1.1","4153"
"Dakota Hudson","Cardinals","16","7","1","33","32","174.2","7.01","4.43","1.13",".274","78.1 %","56.9 %","19.8 %","3.35","4.93","4.55","1.0","19206"
"Caleb Smith","Marlins","10","11","0","28","28","153.1","9.86","3.52","1.94",".251","75.8 %","26.1 %","15.6 %","4.52","5.11","5.05","1.0","14875"
"Trevor Williams","Pirates","7","9","0","26","26","145.2","6.98","2.72","1.67",".303","68.5 %","37.1 %","14.5 %","5.38","5.12","5.25","1.0","16977"
"Mike Leake","- - -","12","11","0","32","32","197.0","5.80","1.23","1.87",".295","72.6 %","46.8 %","18.2 %","4.29","5.19","4.76","1.0","10130"
"Ariel Jurado","Rangers","7","11","0","32","18","122.1","5.96","2.65","1.54",".318","59.3 %","46.1 %","16.0 %","5.81","5.10","5.00","0.9","17030"
"Aaron Sanchez","- - -","5","14","0","27","27","131.1","7.88","4.66","1.37",".320","67.4 %","46.9 %","16.1 %","5.89","5.25","5.15","0.8","11490"
"Antonio Senzatela","Rockies","11","11","0","25","25","124.2","5.49","4.11","1.37",".333","63.0 %","53.8 %","18.3 %","6.71","5.44","5.12","0.7","15488"
"Adrian Sampson","Rangers","6","8","0","35","15","125.1","7.25","2.59","2.08",".327","71.7 %","40.2 %","17.4 %","5.89","5.69","5.33","0.3","13339"
"Yusei Kikuchi","Mariners","6","11","0","32","32","161.2","6.46","2.78","2.00",".310","70.8 %","44.0 %","18.8 %","5.46","5.71","5.18","0.2","20633"
"Michael Wacha","Cardinals","6","7","0","29","24","126.2","7.39","3.91","1.85",".313","79.0 %","48.0 %","22.0 %","4.76","5.61","4.80","-0.2","14078"
"Jorge Lopez","Royals","4","9","1","39","18","123.2","7.93","3.06","1.96",".314","63.6 %","46.4 %","20.6 %","6.33","5.55","4.82","-0.2","14527"
"Wade LeBlanc","Mariners","6","7","0","26","8","121.1","6.82","2.30","2.08",".308","70.4 %","40.0 %","17.6 %","5.71","5.49","5.10","-0.4","5221"
"Glenn Sparkman","Royals","4","11","0","31","23","136.0","5.36","2.71","1.99",".299","68.1 %","37.0 %","16.0 %","6.02","5.93","5.81","-0.5","15200"
