"Season","Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"2017","Andrew Benintendi","BOS","LF","1078.1","","","","","4","4","1","","9","152","138",".908","51","3","","0.5","","0.1","-0.8","-0.1","-0.3","-5.7","17901"
"2019","Raimel Tapia","COL","LF","385.1","0","","","","-2","-1","-4","","-7","48","44",".917","30","","","-0.7","","-2.5","-0.6","-3.8","-15.6","-5.8","14350"
"2019","Ryan Braun","MIL","LF","393.2","0","","","","-1","-1","-2","","-4","41","34",".829","18","","","-0.1","","-3.1","-0.7","-3.8","-16.7","-5.8","3410"
"2018","Justin Upton","LAA","LF","1200.1","","","","","-4","0","4","","0","209","185",".885","110","-2","","-1.2","","0.4","0.2","-0.6","-0.8","-6.8","5222"
"2016","Justin Upton","DET","LF","1258.0","","","","","-4","3","2","","1","201","178",".886","75","-1","","-6.6","","6.1","-0.1","-0.6","-0.2","-7.1","5222"
"2016","Ryan Braun","MIL","LF","1101.2","","","","","4","0","2","","6","160","146",".913","61","2","","2.6","","-5.3","0.5","-2.2","-2.0","-7.9","3410"
"2016","Jayson Werth","WSN","LF","1140.0","","","","","1","1","-10","","-8","162","151",".932","46","-3","","0.0","","-3.7","1.5","-2.2","-2.9","-8.1","1327"
"2019","Juan Soto","WSN","LF","487.1","0","","","","-4","-1","2","","-3","56","54",".964","32","","","-4.6","","-1.7","0.5","-5.9","-25.4","-8.4","20123"
"2016","Angel Pagan","SFG","LF","1047.0","","","","","-1","-2","-1","","-4","157","139",".885","79","-5","","-1.0","","-1.6","-0.4","-3.1","-3.9","-8.5","2918"
"2018","Juan Soto","WSN","LF","987.0","","","","","2","-3","-4","","-5","154","136",".883","71","-2","","-0.7","","-4.4","0.9","-4.2","-5.5","-9.3","20123"
"2018","Denard Span","- - -","LF","924.0","","","","","0","-1","0","","-1","150","137",".913","66","0","","-5.2","","-0.9","1.3","-4.9","-6.6","-9.6","8347"
"2016","Melky Cabrera","CHW","LF","1293.0","","","","","4","4","-13","","-5","188","164",".872","68","-4","","0.7","","-5.1","1.1","-3.2","-3.0","-9.9","4022"
"2019","Domingo Santana","SEA","LF","510.1","0","","","","-2","-2","-4","","-8","90","74",".822","27","","","-2.0","","-3.8","-3.7","-9.5","-23.8","-12.2","10348"
"2017","Khris Davis","OAK","LF","993.0","","","","","-10","-3","0","","-13","162","151",".932","61","-3","","-9.6","","-1.0","0.4","-10.2","-12.1","-15.3","9112"
"2018","Rhys Hoskins","PHI","LF","1172.1","","","","","-6","-3","-15","","-24","197","177",".899","58","-11","","-2.3","","-7.6","-1.4","-11.3","-13.7","-17.4","16472"
